Entity identifier,Entity names,nacionalidade,participação,idno-evento
ent_joaquimcardozo,Joaquim Cardozo,Brasil (Nacionalidade),-,ev_0935
ent_lasarsegall,Lasar Segall,Rússia (Nacionalidade),Convidado,ev_0935
ent_candidoportinari,Cândido Portinari,Brasil (Nacionalidade),Convidado,ev_0935
ent_willibaumeister,Willi Baumeister,Alemanha (Nacionalidade),Homenageado,ev_1512
ent_hansuhlmann,Hans Uhlmann,Alemanha (Nacionalidade),Homenageado,ev_1512
ent_marcelgromaire,Marcel Gromaire,França (Nacionalidade),Hors Concours,ev_0935
ent_afrobasaldella,Afro Basaldella,Itália (Nacionalidade),Inscrição Espontânea,ev_0935
ent_wotywerner,Woty Werner,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_willibaumeister,Willi Baumeister,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_wernergilles,Werner Gilles,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_theodorwerner,Theodor Werner,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_karlschmidt-rottluff,Karl Schmidt-Rottluff,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_karlschmidt-rottluff,Karl Schmidt-Rottluff,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_1022
ent_karlknappe,Karl Knappe,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_karlhartung,Karl Hartung,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_karlhartung,Karl Hartung,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_1022
ent_johannaschutz-wolff,Johanna Schütz-Wolff,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_heinzbattkel,Heinz Battkel,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_hapgrieshaber,Hap Grieshaber,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_hansuhlmann,Hans Uhlmann,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_gerhardmarcks,Gerhard Marcks,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_gerhardmarcks,Gerhard Marcks,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0997
ent_georgmeistermann,Georg Meistermann,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_fritzwinter,Fritz Winter,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_fritzwinter,Fritz Winter,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0983
ent_fritzwinter,Fritz Winter,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0997
ent_ewaldmatare,Ewald Mataré,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_ernstwilhelmnay,Ernst Wilhelm Nay,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_ernstwilhelmnay,Ernst Wilhelm Nay,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0983
ent_ernstwilhelmnay,Ernst Wilhelm Nay,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_1022
ent_ernstbarlach,Ernst Barlach,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_alexandercamaro,Alexander Camaro,Alemanha (Nacionalidade),Representação Nacional > Alemanha,ev_0935
ent_brunovernier,Bruno Vernier,Itália (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_germainederbecq,Germaine Derbecq,França (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_germainederbecq,Germaine Derbecq,França (Nacionalidade),Representação Nacional > Argentina,ev_0954
ent_bernardbouts,Bernard Bouts,França (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_joseantoniofer,José Antonio Fernández-Muro,Espanha (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_joseantoniofer,José Antonio Fernández-Muro,Espanha (Nacionalidade),Representação Nacional > Argentina,ev_0954
ent_joseantoniofer,José Antonio Fernández-Muro,Espanha (Nacionalidade),Representação Nacional > Argentina,ev_1052
ent_raulsoldi,Raúl Soldi,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_raulsoldi,Raúl Soldi,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0997
ent_pablocuratellamanes,Pablo Curatella Manes,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_pablocuratellamanes,Pablo Curatella Manes,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0954
ent_pablocuratellamanes,Pablo Curatella Manes,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0997
ent_pablocuratellamanes,Pablo Curatella Manes,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_1387
ent_orlandopierri,Orlando Pierri,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_orlandopierri,Orlando Pierri,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0954
ent_orlandopierri,Orlando Pierri,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0997
ent_migueldiomede,Miguel Diomede,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_migueldiomede,Miguel Diomede,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0997
ent_juanotano,Juan Otano,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_juanotano,Juan Otano,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0954
ent_juancarloscast,Juan Carlos Castagnino,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_juancarloscast,Juan Carlos Castagnino,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_1127
ent_horaciobutler,Horacio Butler,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_horaciobutler,Horacio Butler,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0997
ent_horaciobutler,Horacio Butler,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_1022
ent_hectorbasaldua,Hector Basaldua,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_hectorbasaldua,Hector Basaldua,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0997
ent_hectorbasaldua,Hector Basaldua,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_1052
ent_carlostorrallardona,Carlos Torrallardona,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_carlostorrallardona,Carlos Torrallardona,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0997
ent_armandosica,Armando Sica,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_antonioberni,Antonio Berni,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_alfredobigatti,Alfredo Bigatti,Argentina (Nacionalidade),Representação Nacional > Argentina,ev_0935
ent_hansaebi,Hans Aebi,Suíça (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_pierreberroeta,Pierre de Berroeta,França (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_vilmadustir,Vilma Dustir,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_vicenteforte,Vicente Forte,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_manuelteijeiro,Manuel F. Teijeiro,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_luismoreno,Luis Gowland Moreno,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_juanballesterpena,Juan Ballester Peña,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_homeropanagiotopoulo,Homero Panagiotopoulos,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_fernadezreyes,Fernandez de los Reyes,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_enricograss,Enrico Grass,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_carlosgonzalez,Carlos Garcia Gonzalez,Argentina (Nacionalidade),Representação Nacional > Argentina ,ev_0935
ent_wilhelmburger,Wilhelm Burger,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_waltereckert,Walter Eckert,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_stephanpraschl,Stephan Praschl,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_sergiuspauser,Sergius Pauser,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_rudolfholzinger,Rudolf Holzinger,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_robertmarkowitsch,Robert Markowitsch,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_paulflora,Paul Flora,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_oskarschmal,Oskar Schmal,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_oskarmatulla,Oskar Matulla,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_oskargawell,Oskar Gawell,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_maxfrev,Max Frev,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_loispregartbauer,Lois Pregartbauer,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_karlgunsam,Karl Gunsam,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_karlbednarik,Karl Bednarik,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_josefdobrowsky,Josef Dobrowsky,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_johanneswanke,Johannes Wanke,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_johanneskrejci,Johannes Krejci,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_hermineaichenegg,Hermine Aichenegg,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_herbertpass,Herbert Pass,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_hansboehler,Hans Boehler,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_gerhardswoboda,Gerhard Swoboda,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_franzzulow,Franz Zulow,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_ferdinandkitt,Ferdinand Kitt,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_etichmiller-hauenfel,Etich Miller-Hauenfels,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_ernsthuber,Ernst Huber,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_erichuber,Eric Huber,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_elfriedeskorpil,Elfriede Skorpil,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_carryhauser,Carry Hauser,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_bartholomausstefferl,Bartholomäus Stefferl,Áustria (Nacionalidade),Representação Nacional > Áustria,ev_0935
ent_arnulfneuwirth,Arnulf Neuwirth,Áustria (Nacionalidade),Representação Nacional > Áustria ,ev_0935
ent_oscarjespers,Oscar Jespers,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_oscarjespers,Oscar Jespers,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0983
ent_jozefcantre,Jozef Cantre,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_jozefcantre,Jozef Cantre,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0983
ent_jeanbrusselmans,Jean Brusselmans,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_jeanbrusselmans,Jean Brusselmans,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0983
ent_edgardtytgat,Edgard Tytgat,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_edgarscauflaire,Edgar Scauflaire,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_constantpermeke,Constant Permeke,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_constantpermeke,Constant Permeke,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0983
ent_carlesleplae,Carles Leplae,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_antoonmarstboom,Antoon Marstboom,Bélgica (Nacionalidade),Representação Nacional > Bélgica,ev_0935
ent_willempaerels,Willem Paerels,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_rikslabbinck,Rik Slabbinck,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_markseverin,Mark Severin,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_josephzabeau,Joseph Zabeau,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_josephvinck,Joseph Vinck,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_janvaerten,Jan Vaerten,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_jacquesmaes,Jacques Maes,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_henrystork,Henry Stork,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_henriwolvens,Henri Wolvens,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_georgesgrard,Georges Grard,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_fransmasereel,Frans Masereel,Bélgica (Nacionalidade),Representação Nacional > Bélgica ,ev_0935
ent_hugoalmaraz,Hugo Almaraz,Bolívia (Nacionalidade),Representação Nacional > Bolívia,ev_0935
ent_limabarreto,Lima Barreto,Brasil (Nacionalidade),Representação Nacional > Brasil ,ev_0935
ent_williamgoodridger,William Goodridge Roberts,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_williamgoodridger,William Goodridge Roberts,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0954
ent_williamabernethog,William Abernathy Ogilvie,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_williamabernethog,William Abernathy Ogilvie,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0954
ent_stanleymorelcosgr,Stanley Morel Cosgrove,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_pierredelignybo,Pierre de Ligny Boudreau,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_paraskevaclark,Paraskeva Clark,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_mollylambbobak,Molly Lamb Bobak,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_mollylambbobak,Molly Lamb Bobak,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0954
ent_mariandalescott,Marian Dale Scott,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_mariandalescott,Marian Dale Scott,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0954
ent_lionellemoinefit,Lionel Lemoine FitzGerald,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_lillianfreiman,Lillian Freiman,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_leonbellefleur,Léon Bellefleur,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_leonbellefleur,Léon Bellefleur,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0954
ent_jacquesdetonnancour,Jacques de Tonnancour,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_henrimasson,Henri Masson,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_fritzbrandtner,Fritz Brandtner,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_fritzbrandtner,Fritz Brandtner,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0954
ent_davidmilne,David Milne,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_davidmilne,David Milne,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0954
ent_carlfellmanschaefer,Carl Fellman Schaefer,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_bertramcharlesbin,Bertram Charles Binning,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_arthurlismer,Arthur Lismer,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_alexanderyoungjacks,Alexander Young Jackson,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_albertdumouchel,Albert Dumouchel,Canadá (Nacionalidade),Representação Nacional > Canadá,ev_0935
ent_waldovila,Waldo Vila,Chile (Nacionalidade),Representação Nacional > Chile,ev_0935
