Evento,ID Evento,Entidade Artista,ID Entidade,Título da Obra,ID Obra,Data da Obra,Dimensão da Obra,Suporte,Técnica
10 Bienal de São Paulo;10 Bienal de São Paulo,ev_1259,Mira Schendel,ent_miraschendel,"Ondas Paradas de Probabilidade. Antigo Testamento, Livro dos Reis I, 19",onpadeprantelidorei41302,1969,,,
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72171semtitumonserescr,1964 - 1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72172semtitumonserescr,1964 - 1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72173semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72174semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72175semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72176semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72177semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
09 Bienal de São Paulo,ev_1226,Mira Schendel,ent_miraschendel,Objeto Gráfico 1,objetografico134974,1967,200X100 ,Desenho,Tinta Tinta Acrílica
09 Bienal de São Paulo,ev_1226,Mira Schendel,ent_miraschendel,Objeto Gráfico 2,objetografico234975,1967,200X100 ,Desenho,Tinta Tinta Acrílica
09 Bienal de São Paulo,ev_1226,Mira Schendel,ent_miraschendel,Objeto Gráfico 3,objetografico334976,1967,200X100 ,Desenho,Tinta Tinta Acrílica
24 Bienal de São Paulo,ev_1877,Mira Schendel,ent_miraschendel,Sem Título (Droguinhas),semtitulodrogui43453,1966,Dimensões Variáveis ,Objeto,Folhas de Papel Arroz Retorcidas e Trançadas
03 Bienal de São Paulo,ev_0983,Mira Schendel,ent_miraschendel,Composição Nº 4,composicaon45962,1954,61X41 ,Pintura,Têmpera s/ Madeira
03 Bienal de São Paulo,ev_0983,Mira Schendel,ent_miraschendel,Composição Nº 5,composicaon55963,1955,62X42 ,Pintura,Têmpera s/ Madeira
07 Bienal de São Paulo,ev_1127,Mira Schendel,ent_miraschendel,Divisão do retângulo,72195divisaodoretangulo,,102x73 ,Pintura,Óleo sobre tela
07 Bienal de São Paulo,ev_1127,Mira Schendel,ent_miraschendel,Composição com Triângulo,composicomtriangu18422,,100X75 ,Pintura,Óleo sobre tela
07 Bienal de São Paulo,ev_1127,Mira Schendel,ent_miraschendel,Composição com Retângulo,composicomretangu18423,,82X102 ,Pintura,Óleo sobre tela
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte I,partei17526,1964,55X35 ,Desenho,Lápis sobre Papel
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte II,parteii17527,1964,55X35 ,Desenho,Lápis sobre Papel
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte III,parteiii17528,1964,55X35 ,Desenho,Lápis sobre Papel
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte IV,parteiv17529,1964,55X35 ,Desenho,Lápis sobre Papel
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte V,partev17530,1964,55X35 ,Desenho,Lápis sobre Papel
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte VI,partevi17531,1964,55X35 ,Desenho,Lápis sobre Papel
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte VII,partevii17532,1964,55X35 ,Desenho,Lápis sobre Papel
08 Bienal de São Paulo,ev_1175,Mira Schendel,ent_miraschendel,Parte VIII,parteviii17533,1964,55X35 ,Desenho,Lápis sobre Papel
20 Bienal de São Paulo,ev_1649,Mira Schendel,ent_miraschendel,Sem Título,semtitulo22869,1963,147X115 ,Pintura,Técnica Mista s/ Tela
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18457,1966,,Objeto,Objeto de Papel
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18458,1966,,Objeto,Objeto de Papel
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18450,1967,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18452,1968,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18453,1968,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18454,1968,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18455,1968,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18456,1968,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18701,1968,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18459,1969,,Instalação,Instalação c/ Fios de Náilon
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18704,1969,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo18451,1970,100X100 ,Objeto,Desenhos Montados entre Placas de Acrílico
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5152,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5153,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
22 Bienal de São Paulo,ev_1749,Mira Schendel,ent_miraschendel,Sem Título,semtitulo5154,1987,90X180 ,Objeto,Têmpera Tinta Acrílica s/ Gesso e Sarrafo de Madeira
