Evento,ID Evento,Entidade Artista,ID Entidade,Título da Obra,ID Obra,Data da Obra,Dimensão da Obra,Suporte,Técnica
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72171semtitumonserescr,1964 - 1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72172semtitumonserescr,1964 - 1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72173semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72174semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72175semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72176semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Sem título. Da série Escritas,72177semtitumonserescr,1965,47 × 23 cm ,Gravura,óleo sobre papel japonês
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Objeto gráfico,72169objetografico,1967,100 × 100 cm ,Desenho,datilografia sobre papel entre placas de acrílico
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Objeto gráfico,72170objetografico,1967,50 × 50 cm ,Desenho,óleo e letraset sobre papel entre placas de acrílico
29 Bienal de São Paulo,ev_2230,Mira Schendel,ent_miraschendel,Que beleza,72178quebeleza,1966,43 × 61 cm ,Desenho,ecoline e bastão de pastel sobre papel
26 Bienal de São Paulo,ev_2130,Cândido Portinari,ent_candidoportinari,Projeto Portinari,cppopngdttrdj63999,1955,,Fotografia,
24 Bienal de São Paulo,ev_1877,Alberto Giacometti,ent_albertogiacometti,Tête de Diego au Col Roule,tetdedieaucolrou53556,1952,"33,9X13,5X13 ",Escultura,Bronze
24 Bienal de São Paulo,ev_1877,Alberto Giacometti,ent_albertogiacometti,Mère de l´Artiste Assise I,meredel´arassii53615,1964,65X50 ,Gravura,Litografia
24 Bienal de São Paulo,ev_1877,Alberto Giacometti,ent_albertogiacometti,Mère de l´Artiste Lisant III,meredel´arlisaiii53617,1964,"67,5X50 ",Gravura,Litografia
24 Bienal de São Paulo,ev_1877,Alberto Giacometti,ent_albertogiacometti,"Place (Trois Figures, Une Tête)",plactrofiguunetete53555,1950,"57X53,5X40 ",Escultura,Bronze
24 Bienal de São Paulo,ev_1877,Alberto Giacometti,ent_albertogiacometti,Femme Couché qui Rêve,femmecouchquireve53567,1929,"24X43X13,5 ",Escultura,Bronze
24 Bienal de São Paulo,ev_1877,Alberto Giacometti,ent_albertogiacometti,Petit Buste sur Colonne,petitbustesurcolon53569,1952,"151,7X21X22,4 ",Escultura,Bronze
24 Bienal de São Paulo,ev_1877,Alberto Giacometti,ent_albertogiacometti,Grande Tête de Diego,grandetetedediego53570,1954,65X39X22 ,Escultura,Bronze
